event_id,game_id,home_team,away_team,home_team_id,away_team_id,home_is_d1,away_is_d1,filter_reason
401820839,401820839,Alabama A&M Bulldogs,Charleston Southern Buccaneers,2010,2127,True,True,KEEP_D1_VS_D1
401823401,401823401,Robert Morris Colonials,Pittsburgh - Greensburg Bobcats,2523,126821,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401823463,401823463,Northern Illinois Huskies,Benedictine University (IL) Eagles,2459,5345,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401824861,401824861,Seton Hall Pirates,Monmouth Hawks,2550,2405,True,True,KEEP_D1_VS_D1
401826750,401826750,Western Carolina Catamounts,Voorhees Tigers,2717,2679,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401826830,401826830,Tennessee Tech Golden Eagles,Berea Mountaineers,2635,2061,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401826856,401826856,Massachusetts Minutemen,Le Moyne Dolphins,113,2330,True,True,KEEP_D1_VS_D1
401826862,401826862,Princeton Tigers,John Jay College Bloodhounds,163,212,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401827089,401827089,Grambling Tigers,Southern Miss Golden Eagles,2755,2572,True,True,KEEP_D1_VS_D1
401827220,401827220,Michigan State Spartans,San José State Spartans,127,23,True,True,KEEP_D1_VS_D1
401827527,401827527,North Carolina A&T Aggies,Washington Adventist Shock,2448,50024,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401828297,401828297,Campbell Fighting Camels,Mid-Atlantic Christian Mustangs,2097,108806,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401828331,401828331,Houston Christian Huskies,UL Monroe Warhawks,2277,2433,True,True,KEEP_D1_VS_D1
401828477,401828477,St. Thomas-Minnesota Tommies,Green Bay Phoenix,2900,2739,True,True,KEEP_D1_VS_D1
401829043,401829043,LSU Tigers,Florida International Panthers,99,2229,True,True,KEEP_D1_VS_D1
401829413,401829413,Lafayette Leopards,Cornell Big Red,322,172,True,True,KEEP_D1_VS_D1
401829493,401829493,Georgia State Panthers,Fort Valley State Wildcats,2247,2232,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401829686,401829686,Howard Bison,Alcorn State Braves,47,2016,True,True,KEEP_D1_VS_D1
401830421,401830421,UNC Asheville Bulldogs,Bryan (TN) Lions,2427,2081,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401831227,401831227,South Alabama Jaguars,Central Michigan Chippewas,6,2117,True,True,KEEP_D1_VS_D1
401808893,401808893,Tulane Green Wave,New Orleans Privateers,2655,2443,True,True,KEEP_D1_VS_D1
401809076,401809076,Bucknell Bison,Hofstra Pride,2083,2275,True,True,KEEP_D1_VS_D1
401812252,401812252,TCU Horned Frogs,Michigan Wolverines,2628,130,True,True,KEEP_D1_VS_D1
401813255,401813255,USC Trojans,Illinois State Redbirds,30,2287,True,True,KEEP_D1_VS_D1
401813759,401813759,UCLA Bruins,Arizona Wildcats,26,12,True,True,KEEP_D1_VS_D1
401817166,401817166,Rhode Island Rams,UAlbany Great Danes,227,399,True,True,KEEP_D1_VS_D1
401817231,401817231,Duke Blue Devils,Indiana State Sycamores,150,282,True,True,KEEP_D1_VS_D1
401817265,401817265,North Carolina Tar Heels,North Carolina Central Eagles,153,2428,True,True,KEEP_D1_VS_D1
401818550,401818550,Brown Bears,Hampton Pirates,225,2261,True,True,KEEP_D1_VS_D1
401819815,401819815,Arizona State Sun Devils,Gonzaga Bulldogs,9,2250,True,True,KEEP_D1_VS_D1
401819825,401819825,Baylor Bears,Tarleton State Texans,239,2627,True,True,KEEP_D1_VS_D1
401819862,401819862,Colorado Buffaloes,Providence Friars,38,2507,True,True,KEEP_D1_VS_D1
401819900,401819900,Texas Tech Red Raiders,Milwaukee Panthers,2641,270,True,True,KEEP_D1_VS_D1
401820151,401820151,Navy Midshipmen,Washington College (MD) Shoremen,2426,2689,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401820543,401820543,Northern Iowa Panthers,Furman Paladins,2460,231,True,True,KEEP_D1_VS_D1
401820832,401820832,Creighton Bluejays,Maryland Eastern Shore Hawks,156,2379,True,True,KEEP_D1_VS_D1
401820840,401820840,Charleston Southern Buccaneers,Lindenwood Lions,2127,2815,True,True,KEEP_D1_VS_D1
401822168,401822168,Iona Gaels,Fordham Rams,314,2230,True,True,KEEP_D1_VS_D1
401822350,401822350,Fairfield Stags,Stonehill Skyhawks,2217,284,True,True,KEEP_D1_VS_D1
401822356,401822356,Kentucky Wildcats,Eastern Illinois Panthers,96,2197,True,True,KEEP_D1_VS_D1
401822760,401822760,Coppin State Eagles,Central Michigan Chippewas,2154,2117,True,True,KEEP_D1_VS_D1
401823376,401823376,Eastern Michigan Eagles,IU Indianapolis Jaguars,2199,85,True,True,KEEP_D1_VS_D1
401823524,401823524,Stephen F. Austin Lumberjacks,Abilene Christian Wildcats,2617,2000,True,True,KEEP_D1_VS_D1
401823532,401823532,California Baptist Lancers,Western Illinois Leathernecks,2856,2710,True,True,KEEP_D1_VS_D1
401823552,401823552,Ole Miss Rebels,Cal State Bakersfield Roadrunners,145,2934,True,True,KEEP_D1_VS_D1
401823560,401823560,Iowa Hawkeyes,Xavier Musketeers,2294,2752,True,True,KEEP_D1_VS_D1
401824040,401824040,Loyola Marymount Lions,Troy Trojans,2351,2653,True,True,KEEP_D1_VS_D1
401824136,401824136,Washington State Cougars,Washington Huskies,265,264,True,True,KEEP_D1_VS_D1
401824826,401824826,Texas A&M Aggies,UCF Knights,245,2116,True,True,KEEP_D1_VS_D1
401824897,401824897,Hawai'i Rainbow Warriors,Manhattan Jaspers,62,2363,True,True,KEEP_D1_VS_D1
401825383,401825383,West Georgia Wolves,The Citadel Bulldogs,2698,2643,True,True,KEEP_D1_VS_D1
401825571,401825571,DePaul Blue Demons,Northwestern Wildcats,305,77,True,True,KEEP_D1_VS_D1
401826087,401826087,UC Davis Aggies,Sacramento State Hornets,302,16,True,True,KEEP_D1_VS_D1
401826713,401826713,Georgia Bulldogs,Georgia Tech Yellow Jackets,61,59,True,True,KEEP_D1_VS_D1
401826786,401826786,Arkansas Razorbacks,Samford Bulldogs,8,2535,True,True,KEEP_D1_VS_D1
401826806,401826806,Rice Owls,East Texas A&M Lions,242,2837,True,True,KEEP_D1_VS_D1
401826852,401826852,UAB Blazers,High Point Panthers,5,2272,True,True,KEEP_D1_VS_D1
401827153,401827153,Alabama State Hornets,Virginia-Lynchburg Dragons,2011,3229,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401827180,401827180,Illinois Fighting Illini,Colgate Raiders,356,2142,True,True,KEEP_D1_VS_D1
401827433,401827433,Rutgers Scarlet Knights,Lehigh Mountain Hawks,164,2329,True,True,KEEP_D1_VS_D1
401827450,401827450,Charleston Cougars,South Carolina State Bulldogs,232,2569,True,True,KEEP_D1_VS_D1
401827498,401827498,Towson Tigers,Norfolk State Spartans,119,2450,True,True,KEEP_D1_VS_D1
401828277,401828277,Saint Mary's Gaels,North Texas Mean Green,2608,249,True,True,KEEP_D1_VS_D1
401828289,401828289,Montana Grizzlies,Cal Poly Mustangs,149,13,True,True,KEEP_D1_VS_D1
401828308,401828308,Jacksonville State Gamecocks,Coastal Carolina Chanticleers,55,324,True,True,KEEP_D1_VS_D1
401828906,401828906,Drake Bulldogs,SIU Edwardsville Cougars,2181,2565,True,True,KEEP_D1_VS_D1
401829444,401829444,McNeese Cowboys,Louisiana Ragin' Cajuns,2377,309,True,True,KEEP_D1_VS_D1
401829445,401829445,Northwestern State Demons,Ecclesia Royals,2466,3120,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401829489,401829489,Georgia Southern Eagles,Johnson C Smith Golden Bulls,290,2304,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401830342,401830342,Mississippi Valley State Delta Devils,Utah Tech Trailblazers,2400,3101,True,True,KEEP_D1_VS_D1
401808951,401808951,Mississippi State Bulldogs,SE Louisiana Lions,344,2545,True,True,KEEP_D1_VS_D1
401811967,401811967,Oral Roberts Golden Eagles,Belmont Bruins,198,2057,True,True,KEEP_D1_VS_D1
401812285,401812285,NJIT Highlanders,Fairleigh Dickinson Knights,2885,161,True,True,KEEP_D1_VS_D1
401812354,401812354,Long Island University Sharks,James Madison Dukes,112358,256,True,True,KEEP_D1_VS_D1
401812602,401812602,Army Black Knights,Harvard Crimson,349,108,True,True,KEEP_D1_VS_D1
401812627,401812627,Rider Broncs,Eastern University (PA) Eagles,2520,2196,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401812788,401812788,UConn Huskies,BYU Cougars,41,252,True,True,KEEP_D1_VS_D1
401812919,401812919,Georgetown Hoyas,Clemson Tigers,46,228,True,True,KEEP_D1_VS_D1
401813275,401813275,Mercyhurst Lakers,Morgan State Bears,2385,2415,True,True,KEEP_D1_VS_D1
401813437,401813437,Dayton Flyers,Bethune-Cookman Wildcats,2168,2065,True,True,KEEP_D1_VS_D1
401813447,401813447,Villanova Wildcats,Duquesne Dukes,222,2184,True,True,KEEP_D1_VS_D1
401817144,401817144,George Washington Revolutionaries,Old Dominion Monarchs,45,295,True,True,KEEP_D1_VS_D1
401817185,401817185,Saint Louis Billikens,Grand Canyon Lopes,139,2253,True,True,KEEP_D1_VS_D1
401817196,401817196,St. Bonaventure Bonnies,Youngstown State Penguins,179,2754,True,True,KEEP_D1_VS_D1
