rank,team,team_id,conference,conf_rank,record,home_record,away_record,cage_em,cage_o,cage_d,cage_t,barthag,wab,expected_win_pct,actual_win_pct,luck,sos,q1_record,q2_record,q3_record,q4_record,q1_wpct,best_win_net,bad_loss_count,cage_power_index,eff_grade,resume_score,suffocation,momentum,clutch_rating,consistency_score,off_identity,tourney_readiness,star_risk,dna_score,floor_em,ceiling_em,trend_arrow,trend_numeric,offensive_archetype,home_road_delta_pct,regression_risk,star_danger,three_pct_gap,efg_pct,opp_efg_pct,tov_pct,orb_pct,drb_pct,ftr,three_par,three_pct,ft_pct,close_wpct,net_rtg_l5,net_rtg_l10,updated_at
11,Holy Cross Crusaders,107,22,2,0-0,0-0,0-0,13.9,110.9,97.0,64.9,0.8235,,0.823,0.0,0.0,-103.0,,,,,,,,75.3,A-,50.0,73.0,0.0,0.0,100.0,37.6,52.6,0.0,65.1,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,55.9,,16.9,17.2,82.8,35.3,37.3,47.4,83.3,,,,2026-02-24 02:53 PST
12,McNeese Cowboys,2377,Horizon League,3,0-0,0-0,0-0,10.3,110.7,100.4,67.8,0.7546,,0.755,0.0,0.0,-103.0,,,,,,,,54.1,B+,50.0,42.9,0.0,0.0,100.0,58.5,45.7,0.0,59.6,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,46.6,,14.8,37.1,62.9,50.0,31.0,22.2,72.4,,,,2026-02-24 02:53 PST
13,Michigan State Spartans,127,Pac-12,2,0-0,0-0,0-0,10.0,110.0,100.0,60.0,0.7495,,0.75,0.0,0.0,-103.0,,,,,,,,55.5,B+,50.0,46.2,0.0,0.0,100.0,52.1,42.8,0.0,50.2,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,43.6,,15.0,34.9,65.1,45.5,27.3,26.7,72.0,,,,2026-02-24 02:53 PST
14,Tulane Green Wave,2655,Atlantic Coast Conference,3,0-0,0-0,0-0,9.1,123.4,114.3,65.6,0.707,,0.708,0.0,0.0,-103.0,,,,,,,,61.0,B+,50.0,62.1,0.0,0.0,100.0,79.3,64.0,0.0,92.5,-12.0,12.0,→ FLAT,0.0,perimeter,0.0,0,0,,60.4,,16.8,20.6,79.4,64.6,60.4,41.4,74.2,,,,2026-02-24 02:53 PST
15,Drexel Dragons,2182,Western Athletic Conference,1,0-0,0-0,0-0,9.0,102.2,93.2,66.5,0.7427,,0.743,0.0,0.0,-103.0,,,,,,,,63.8,B+,50.0,62.4,0.0,0.0,100.0,77.8,56.1,0.0,66.5,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,46.2,,15.0,23.3,76.7,63.5,34.6,22.2,60.6,,,,2026-02-24 02:53 PST
16,Fairfield Stags,2217,Metro Atlantic Athletic Conference,3,0-0,0-0,0-0,8.8,124.8,116.0,68.1,0.6987,,0.699,0.0,0.0,-103.0,,,,,,,,51.7,B+,50.0,45.8,0.0,0.0,100.0,43.9,47.4,0.0,69.9,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,56.0,,16.1,32.4,67.6,39.7,20.7,25.0,87.0,,,,2026-02-24 02:53 PST
17,Northwestern State Demons,2466,Horizon League,4,0-0,0-0,0-0,8.5,91.0,82.5,59.4,0.7554,,0.754,0.0,0.0,-103.0,,,,,,,,68.5,B+,50.0,69.5,0.0,0.0,100.0,42.6,44.8,0.0,39.8,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,40.8,,15.2,21.2,78.8,38.8,28.6,28.6,73.7,,,,2026-02-24 02:53 PST
18,Youngstown State Penguins,2754,Horizon League,5,0-0,0-0,0-0,8.4,89.6,81.2,71.4,0.7562,,0.756,0.0,0.0,-103.0,,,,,,,,83.2,B+,50.0,96.7,0.0,0.0,100.0,61.4,54.4,0.0,37.0,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,47.0,,25.2,20.0,80.0,52.0,40.0,25.0,65.4,,,,2026-02-24 02:53 PST
19,Rider Broncs,2520,Metro Atlantic Athletic Conference,4,0-0,0-0,0-0,8.1,108.2,100.1,61.9,0.7099,,0.709,0.0,0.0,-103.0,,,,,,,,55.5,B+,50.0,51.4,0.0,0.0,100.0,33.9,39.5,0.0,43.5,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,47.3,,17.8,36.4,63.6,32.7,21.8,33.3,83.3,,,,2026-02-24 02:53 PST
20,Purdue Fort Wayne Mastodons,2870,Horizon League,6,0-0,0-0,0-0,8.0,122.5,114.5,75.1,0.685,,0.685,0.0,0.0,-103.0,,,,,,,,59.3,B+,50.0,61.8,0.0,0.0,100.0,42.9,57.5,0.0,89.3,-12.0,12.0,→ FLAT,0.0,perimeter,0.0,0,0,,66.9,,17.3,21.9,78.1,39.0,55.9,45.5,56.5,,,,2026-02-24 02:53 PST
