kenpom_rank,team_name,conference,games,wins,losses,adj_o,adj_d,adj_em,barthag,seed,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,two_p_pct,two_pd_pct,three_p_pct,three_pd_pct,three_pr,three_prd,adj_tempo,wab
160,William & Mary,CAA,32,20,12,110.4,110.0,0.4,0.5108,,54.3,51.9,16.5,19.0,26.0,31.5,44.0,35.5,57.9,53.7,33.0,33.1,42.8,45.5,72.6,-7.1
161,Oregon St.,WCC,33,17,16,109.4,109.0,0.4,0.5106,,50.5,50.3,17.7,15.3,26.8,32.1,43.1,35.1,48.8,51.0,35.0,32.9,44.3,41.5,65.2,-7.5
162,Georgia Tech,ACC,31,11,20,106.9,106.6,0.3,0.5086,,50.0,49.9,18.6,15.6,29.9,30.7,33.3,34.2,48.7,50.1,35.1,33.1,33.2,44.4,70.9,-9.7
163,Valparaiso,MVC,33,18,15,107.6,107.2,0.4,0.5085,,47.6,50.5,15.7,16.9,32.5,30.1,39.1,35.1,45.8,51.9,33.9,32.1,36.8,37.0,65.1,-8.3
164,UC Davis,BW,33,19,14,107.0,106.7,0.3,0.5077,,51.8,51.7,17.9,19.8,25.2,30.5,40.5,39.1,51.9,52.4,34.4,33.8,43.5,38.1,68.9,-8.4
165,Harvard,Ivy,29,17,12,105.4,105.1,0.3,0.5056,,53.2,50.4,17.4,17.1,26.8,28.2,25.7,26.6,54.0,51.4,34.7,32.6,40.2,38.7,63.1,-7.5
166,Montana,BSky,34,18,16,107.2,107.0,0.2,0.5035,,55.8,50.5,19.6,14.3,20.7,29.6,36.8,32.6,56.5,51.9,36.6,32.3,41.8,38.0,69.5,-10.0
167,Cal St. Northridge,BW,34,20,14,108.9,108.9,0.0,0.5006,,51.3,51.6,17.5,16.4,31.9,26.6,34.2,34.3,52.6,51.7,32.4,34.4,33.6,48.6,73.5,-8.2
168,Richmond,A10,32,15,17,110.4,110.5,-0.1,0.4986,,52.7,52.0,14.3,17.7,25.0,31.0,36.9,35.1,50.5,54.5,37.1,32.7,42.6,45.6,67.6,-10.9
169,Western Kentucky,CUSA,32,18,14,108.1,108.2,-0.1,0.4962,,47.5,51.2,14.5,17.2,31.8,29.5,41.2,46.8,45.8,51.0,33.4,34.3,39.4,42.3,69.9,-8.6
170,Merrimack,MAAC,34,23,11,106.1,106.4,-0.3,0.4934,,49.1,46.7,14.8,20.4,24.8,39.9,38.2,37.1,49.1,47.3,32.7,30.3,46.1,32.6,63.5,-6.3
171,Monmouth,CAA,34,19,15,106.4,106.7,-0.3,0.4899,,49.6,50.1,16.6,19.9,31.2,32.8,32.7,32.2,48.7,49.6,34.2,33.9,34.4,38.3,66.9,-10.0
172,Charlotte,Amer,34,17,17,112.9,113.5,-0.6,0.4841,,53.4,50.9,18.1,13.6,33.9,32.5,36.4,36.2,53.8,51.4,35.2,33.5,45.4,40.7,63.4,-10.2
173,Winthrop,BSth,34,23,11,110.4,111.0,-0.6,0.4834,,49.7,51.4,14.7,16.7,34.1,27.7,44.0,39.0,49.7,53.0,33.2,32.9,44.1,42.8,69.9,-5.6
174,Massachusetts,MAC,33,17,16,109.9,110.6,-0.7,0.4816,,53.1,52.9,17.8,16.8,33.3,26.1,37.0,44.6,53.2,55.4,35.2,33.0,35.4,42.7,70.2,-11.4
175,Towson,CAA,34,19,15,104.1,104.9,-0.8,0.4793,,46.5,48.5,15.9,15.1,36.0,29.1,30.4,29.3,47.8,50.0,29.4,30.9,34.9,41.4,63.4,-9.0
176,FIU,CUSA,32,15,17,107.7,108.6,-0.9,0.4769,,50.6,52.9,17.7,20.1,33.9,34.8,38.6,35.9,49.9,51.7,34.7,36.2,32.7,45.1,71.6,-11.4
177,Fordham,A10,32,17,15,103.2,104.2,-1.0,0.4722,,48.6,49.9,17.2,17.2,34.1,26.8,26.4,30.3,51.9,49.8,28.9,33.4,38.3,42.4,64.2,-9.4
178,Oakland,Horz,32,16,16,113.8,115.0,-1.2,0.4698,,52.7,54.7,14.7,15.1,31.3,34.4,38.1,24.6,53.0,57.0,34.7,34.3,34.0,41.7,70.0,-8.4
179,Northern Kentucky,Horz,34,20,14,108.9,110.2,-1.3,0.4682,,53.2,54.2,16.3,18.6,32.2,31.6,35.9,37.2,55.5,53.8,33.6,36.6,44.9,38.1,70.0,-9.6
180,Green Bay,Horz,33,18,15,113.1,114.3,-1.2,0.4681,,54.9,53.6,16.0,13.2,25.1,29.6,41.6,37.4,55.0,52.9,36.4,36.3,37.3,43.3,63.0,-9.7
181,Texas A&M Corpus Chris,Slnd,33,18,15,104.1,105.3,-1.2,0.4665,,49.5,50.1,19.4,19.0,31.7,28.8,41.1,46.3,48.1,51.5,35.0,31.6,31.4,34.9,65.9,-9.0
182,UT Arlington,WAC,32,18,14,101.4,102.6,-1.2,0.4645,,47.2,47.4,20.7,18.0,34.9,30.1,42.5,40.9,48.8,50.9,29.1,26.9,30.7,32.3,64.8,-8.1
183,Utah Tech,WAC,34,19,15,111.2,112.7,-1.5,0.4621,,53.3,50.9,17.6,16.9,28.1,34.5,30.6,33.0,53.7,53.5,35.0,30.7,38.2,34.4,66.4,-8.1
184,UMBC,AE,32,24,8,107.6,109.2,-1.6,0.4563,16.0,53.9,49.2,14.1,15.2,25.1,25.6,33.8,25.2,54.0,49.7,35.9,32.2,38.8,37.8,66.0,-5.1
185,Appalachian St.,SB,32,19,13,105.3,107.0,-1.7,0.4551,,49.9,47.5,15.3,14.0,32.0,29.0,39.1,31.2,53.6,47.0,30.4,32.2,45.9,41.4,63.0,-9.2
186,Siena,MAAC,34,23,11,107.2,108.9,-1.7,0.4548,16.0,50.6,48.6,16.0,17.1,31.9,29.0,34.2,27.2,52.8,48.2,30.4,32.8,31.9,39.3,64.6,-7.8
187,Detroit Mercy,Horz,32,17,15,108.8,110.6,-1.8,0.452,,49.5,52.2,16.0,14.4,33.3,30.8,32.6,37.6,48.1,53.8,35.1,33.3,30.7,42.6,68.8,-9.8
188,Campbell,CAA,34,16,18,110.4,112.3,-1.9,0.4516,,50.1,53.9,17.6,17.0,33.5,32.0,43.5,37.0,51.2,54.2,32.3,35.5,36.9,29.9,69.8,-10.9
189,Portland,WCC,34,15,19,106.2,108.1,-1.9,0.4502,,51.2,52.7,19.7,17.0,28.1,32.5,34.4,32.6,54.7,51.4,29.9,36.1,35.4,45.6,68.5,-10.5
