as_of_date,conference,team,conf_w,conf_l,conf_pct,overall_w,overall_l,overall_pct,streak,generated_at,conference_name,pipeline_run_id
20260304,Summit League,South Dakota State Jackrabbits,0,0,0,12,17,0.414,0,2026-03-04T22:22:32Z,Summit League,22692149656
20260304,Sun Belt Conference,Southern Miss Golden Eagles,0,0,0,15,14,0.517,0,2026-03-04T22:22:32Z,Sun Belt Conference,22692149656
20260304,,Southern-New Orleans Knights,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,,Southern Wesleyan Warriors,0,0,0,0,3,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Southeastern Conference,South Carolina Gamecocks,0,0,0,11,18,0.379,0,2026-03-04T22:22:32Z,Southeastern Conference,22692149656
20260304,Southwestern Athletic Conference,Southern Jaguars,0,0,0,14,14,0.5,0,2026-03-04T22:22:32Z,Southwestern Athletic Conference,22692149656
20260304,,St. Ambrose Fighting Bees,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,,St. Francis (IL) Fighting Saints,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Northeast Conference,Saint Francis Red Flash,0,0,0,7,22,0.241,0,2026-03-04T22:22:32Z,Northeast Conference,22692149656
20260304,Big East,St. John's Red Storm,0,0,0,23,5,0.821,0,2026-03-04T22:22:32Z,Big East,22692149656
20260304,,Saint John's (MN) Johnnies,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Atlantic 10,Saint Joseph's Hawks,0,0,0,17,10,0.63,0,2026-03-04T22:22:32Z,Atlantic 10,22692149656
20260304,,Saint Leo Monarchs,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,West Coast Conference,Saint Mary's Gaels,0,0,0,25,4,0.862,0,2026-03-04T22:22:32Z,West Coast Conference,22692149656
20260304,Metro Atlantic Athletic Conference,Saint Peter's Peacocks,0,0,0,16,10,0.615,0,2026-03-04T22:22:32Z,Metro Atlantic Athletic Conference,22692149656
20260304,,St. Xavier  (IL) Cougars,0,0,0,0,2,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Southland Conference,Stephen F. Austin Lumberjacks,0,0,0,25,4,0.862,0,2026-03-04T22:22:32Z,Southland Conference,22692149656
20260304,Colonial Athletic Association,Stony Brook Seawolves,0,0,0,15,14,0.517,0,2026-03-04T22:22:32Z,Colonial Athletic Association,22692149656
20260304,Conference USA,Missouri State Bears,0,0,0,11,16,0.407,0,2026-03-04T22:22:32Z,Conference USA,22692149656
20260304,Western Athletic Conference,Tarleton State Texans,0,0,0,13,14,0.481,0,2026-03-04T22:22:32Z,Western Athletic Conference,22692149656
20260304,Big 12,TCU Horned Frogs,0,0,0,19,9,0.679,0,2026-03-04T22:22:32Z,Big 12,22692149656
